otherProp,prob,selfProp,needDur,propDur,jitterDur,itiDur,partnerBlockNum,overallPartnerTrialNum,partnerBlockTrialNum,blockType
3,19,25,2.0,4.0,0.5,2.5,1,1,1,practice
30,79,3,2.0,4.0,2.5,1.5,1,2,2,practice
33,82,8,2.0,4.0,1.5,0.5,1,3,3,practice
10,80,26,2.0,4.0,2.5,3.5,1,4,4,practice
23,78,31,2.0,4.0,2.5,0.5,1,5,5,practice
31,18,15,2.0,4.0,3.5,3.5,1,6,6,practice
11,82,16,2.0,4.0,1.5,3.5,1,7,7,practice
9,78,33,2.0,4.0,0.5,2.5,1,8,8,practice
26,22,14,2.0,4.0,0.5,1.5,1,9,9,practice
31,18,8,2.0,4.0,1.5,0.5,1,10,10,practice
16,81,36,2.0,4.0,1.5,2.5,1,11,11,practice
34,16,13,2.0,4.0,3.5,1.5,1,12,12,practice
13,23,28,2.0,4.0,2.5,2.5,1,13,13,practice
15,78,25,2.0,4.0,3.5,3.5,1,14,14,practice
10,19,28,2.0,4.0,3.5,3.5,1,15,15,practice
35,16,24,2.0,4.0,0.5,0.5,1,16,16,practice
9,21,24,2.0,4.0,1.5,1.5,1,17,17,practice
35,77,13,2.0,4.0,0.5,2.5,1,18,18,practice
3,76,24,2.0,4.0,3.5,1.5,1,19,19,practice
34,78,4,2.0,4.0,2.5,0.5,1,20,20,practice
